model	date	method	resolution	distance_mean	distance_median
1nbcAH	1996-09-10	x-ray diffraction	1.8	1.5225658654136638	1.5229891805171991
1dfuPH	1999-11-21	x-ray diffraction	1.8	1.5239878565490927	1.5239682206817626
1auoAH	1997-09-01	x-ray diffraction	1.8	1.5210225923381893	1.5209814408107625
1dciAH	1998-02-13	x-ray diffraction	1.5	1.5231630942849068	1.523707129105897
1a3aDH	1998-01-19	x-ray diffraction	1.8	1.5227675358453343	1.5223185442339568
1penH	1996-01-29	x-ray diffraction	1.1	1.5256424322737734	1.525816304759428
1hmtH	1994-01-02	x-ray diffraction	1.4	1.5237887672656978	1.5243507711207196
8abpH	1991-04-25	x-ray diffraction	1.49	1.5292884845707573	1.5274933831381128
1btyH	1995-05-17	x-ray diffraction	1.5	1.5344265478926646	1.5343139396622918
1moqH	1997-04-11	x-ray diffraction	1.57	1.5261525555911226	1.5257788161654722
1fdrH	1997-03-06	x-ray diffraction	1.7	1.5249989819301513	1.5244816792151314
1evhABH	1999-04-21	x-ray diffraction	1.8	1.5229460580888843	1.523803304011075
1mskH	1996-08-03	x-ray diffraction	1.8	1.5219891708657618	1.5218427278265507
1munH	1998-08-26	x-ray diffraction	1.2	1.51933588866618	1.5197756124670683
2a0bH	1998-04-02	x-ray diffraction	1.57	1.5265079007722544	1.52265217756665
2fdnH	1997-10-01	x-ray diffraction	0.94	1.519837523275569	1.5191102370179372
1lkkH	1995-11-10	x-ray diffraction	1.0	1.5249963952123338	1.523488245992753
1qf9H	1999-04-07	x-ray diffraction	1.7	1.526480680786726	1.526651971060018
2igdH	1997-04-30	x-ray diffraction	1.1	1.519516877441671	1.5190328876283619
1qnfH	1997-07-04	x-ray diffraction	1.8	1.523592066023854	1.5239645893298075
1cyoH	1994-08-03	x-ray diffraction	1.5	1.530233171314311	1.5303005412347872
1xikAH	1996-08-06	x-ray diffraction	1.7	1.5212283733605096	1.5209327180730212
1nddBH	1998-08-21	x-ray diffraction	1.6	1.5250700229203873	1.5249893587919692
1dvjAH	2000-03-30	x-ray diffraction	1.5	1.5238478457944067	1.52322319971635
1vieH	1996-10-03	x-ray diffraction	1.7	1.5169022856404013	1.5141713959403327
1aacH	1995-09-07	x-ray diffraction	1.31	1.522833174494334	1.5229391600323345
1c1lH	1999-03-03	x-ray diffraction	1.5	1.5191774433223744	1.5190637333442454
1vccH	1995-10-02	x-ray diffraction	1.6	1.5294415583448338	1.5302505750728825
1dlfH	1998-07-14	x-ray diffraction	1.45	1.5268738345364117	1.5265127854022895
1cxcH	1994-02-14	x-ray diffraction	1.6	1.5192923106629488	1.520249789442143
1ugiDH	1998-11-04	x-ray diffraction	1.55	1.5235672664518416	1.5246244996229403
1hcrAH	1993-12-17	x-ray diffraction	1.8	1.5193443472429953	1.5179303433067024
256bAH	1990-01-16	x-ray diffraction	1.4	1.5261886458950709	1.52672059956706
2cpgAH	1999-11-15	x-ray diffraction	1.6	1.5224248818190942	1.5224080563809357
1qq5AH	1999-06-10	x-ray diffraction	1.52	1.525943585129376	1.5258954287757993
1di6H	1999-11-29	x-ray diffraction	1.45	1.5233800108132276	1.5238324622490753
3stdAH	1998-10-16	x-ray diffraction	1.65	1.526931331405094	1.5269432565508647
1qusH	1999-07-03	x-ray diffraction	1.7	1.5279702925211278	1.52844331093337
16pkH	1998-05-18	x-ray diffraction	1.6	1.5253244498017213	1.5251521999471351
1fncH	1995-01-05	x-ray diffraction	1.7	1.5206919696045722	1.519879264964333
6celH	1997-09-24	x-ray diffraction	1.7	1.524513948355006	1.5243932057002936
1tmlH	1993-06-08	x-ray diffraction	1.8	1.5235683485239964	1.5236431027903232
1avwBH	1997-09-21	x-ray diffraction	1.75	1.524836709036527	1.5245768137439877
1fdsH	1996-06-28	x-ray diffraction	1.7	1.5242678990627123	1.5236446063623217
4eugH	1998-12-27	x-ray diffraction	1.4	1.522780029974117	1.522453523214268
1dp7PH	1999-12-23	x-ray diffraction	1.5	1.5236994848389545	1.5231415646392163
1qqqH	1999-06-07	x-ray diffraction	1.5	1.5241671443420859	1.5244549221165162
1lmb4H	1991-11-05	x-ray diffraction	1.8	1.5208323524907672	1.521768600955104
1akoH	1997-05-26	x-ray diffraction	1.7	1.525363653641594	1.5259026031786682
1nifH	1995-07-03	x-ray diffraction	1.6	1.5324881268263546	1.5299743967869062
2rn2H	1992-04-15	x-ray diffraction	1.48	1.5238405534059773	1.5229096777164617
1a92AH	1998-04-15	x-ray diffraction	1.8	1.5250848699773993	1.5257447404755524
2hbgH	1991-02-11	x-ray diffraction	1.5	1.522385232203113	1.5214800120999603
2cbpH	1996-03-16	x-ray diffraction	1.8	1.5270958248058941	1.5261991272461441
2tgiH	1993-10-20	x-ray diffraction	1.8	1.5257700647198056	1.526660969947711
1cexH	1997-02-18	x-ray diffraction	1.0	1.5163043305122856	1.5150578531554209
1opdH	1996-08-01	x-ray diffraction	1.5	1.5327456464240894	1.5331435097449457
1whiH	1996-01-10	x-ray diffraction	1.5	1.524271470022345	1.523625155079197
1brtH	1998-03-30	x-ray diffraction	1.5	1.516218375724217	1.51637200919954
3eipAH	1999-03-29	x-ray diffraction	1.8	1.5231829982768246	1.523515372109551
1mugH	1998-07-10	x-ray diffraction	1.8	1.5283010371744876	1.527901862353103
1gvpH	1997-02-26	x-ray diffraction	1.6	1.527284670652665	1.5277309370867038
1bj7H	1998-07-02	x-ray diffraction	1.8	1.5240540259816613	1.5233085087196048
1dhnH	1998-03-31	x-ray diffraction	1.65	1.5280587526012686	1.5265576036214306
1ctfH	1986-09-02	x-ray diffraction	1.7	1.5238570385656822	1.5214437215050012
1vjsH	1996-10-02	x-ray diffraction	1.7	1.5257730867329136	1.5251782391559912
4pgaAH	1997-01-14	x-ray diffraction	1.7	1.5292474954067183	1.5288196136486687
1c3pH	1999-07-28	x-ray diffraction	1.8	1.5245850512439314	1.5247999639730456
1bfdH	1998-04-30	x-ray diffraction	1.6	1.527067207719945	1.5267484554213073
1osaH	1993-08-11	x-ray diffraction	1.68	1.521357961759719	1.521526309516028
1bw9AH	1998-10-01	x-ray diffraction	1.5	1.5213292166535108	1.5211818629381817
1ezmH	1992-01-13	x-ray diffraction	1.5	1.5253557554914572	1.5251594519207927
1htrH	1994-10-21	x-ray diffraction	1.62	1.5219627479755777	1.5224463990484756
1nwpAH	1997-09-06	x-ray diffraction	1.6	1.524384812845387	1.5249091131957235
1dbgH	1999-11-02	x-ray diffraction	1.7	1.5239380851072224	1.5240426136178211
1hkaH	1998-09-29	x-ray diffraction	1.5	1.5231003798048992	1.5230000868564582
1mjhBH	1998-11-04	x-ray diffraction	1.7	1.522584018388025	1.5231824044864952
3ebxH	1988-01-15	x-ray diffraction	1.4	1.5244489286201617	1.523492459242319
2cbaH	1992-06-01	x-ray diffraction	1.54	1.5275510462726236	1.5275563505716243
2spcAH	1994-03-01	x-ray diffraction	1.8	1.5325916927040075	1.5304594396159927
1qu9AH	1999-07-07	x-ray diffraction	1.2	1.5250464284834064	1.5249534904319808
1fmbH	1996-02-27	x-ray diffraction	1.8	1.5270814684357257	1.5272529439763107
119lH	1993-05-28	x-ray diffraction	1.65	1.5295339224052187	1.5290400389128358
1bhpH	1995-03-15	x-ray diffraction	1.7	1.5209561832109963	1.5224981314312533
2cppH	1987-04-06	x-ray diffraction	1.63	1.5223600446092798	1.5237660331402252
2cuaAH	1999-02-18	x-ray diffraction	1.6	1.5234737321393759	1.523695918295491
1zinH	1996-06-07	x-ray diffraction	1.6	1.52687010186116	1.526446913425758
7fd1H	1998-12-11	x-ray diffraction	1.3	1.5209120819073978	1.5199415853447595
1nfnH	1996-07-17	x-ray diffraction	1.8	1.522912975322357	1.5234818073728382
1gciH	1998-09-02	x-ray diffraction	0.78	1.5264031498743316	1.5270173629768022
1mmlH	1995-07-18	x-ray diffraction	1.8	1.5227579353765786	1.5225635083528108
2ayhH	1995-02-02	synchrotron x-ray diffraction	1.6	1.5183201243891202	1.5183868820811768
1gaiH	1996-03-06	x-ray diffraction	1.7	1.5285794487937774	1.528963731834679
1cs1AH	1998-09-23	x-ray diffraction	1.5	1.5262791577899208	1.5264665235892179
1tenH	1992-08-28	x-ray diffraction	1.8	nan	1.5228870608062473
3pypH	1998-07-28	x-ray diffraction	0.85	1.521255415400565	1.5218211101841455
4xisH	1991-03-25	x-ray diffraction	1.6	nan	1.5242836611148918
1a1yIH	1997-12-18	x-ray diffraction	1.05	1.5177006535753996	1.5187021389227804
2msbAH	1992-07-28	x-ray diffraction	1.7	nan	1.5210446958730568
2hftH	1995-09-08	x-ray diffraction	1.69	1.5274838620792675	1.5285295545879005
1bkbH	1998-07-05	x-ray diffraction	1.75	1.523010581421194	1.5229390674871048
1ek6AH	2000-03-06	x-ray diffraction	1.5	1.522532063078583	1.5218253907590116
1aylH	1995-12-07	x-ray diffraction	1.8	1.527122895792433	1.5275161634335
1qcxH	1999-05-13	x-ray diffraction	1.7	1.5253028522097865	1.525459259395949
1mctIH	1992-10-24	x-ray diffraction	1.6	1.5256413023081168	1.5244874225982286
1cl8H	1999-05-06	x-ray diffraction	1.8	1.526063644012894	1.5262210988106915
1c02AH	1999-07-14	x-ray diffraction	1.8	1.5261376214992692	1.5263045696471929
1qsgGH	1999-06-21	x-ray diffraction	1.75	1.527912851702442	1.5265474511714983
1czpAH	1999-09-06	x-ray diffraction	1.17	1.5215824968692513	1.5221810801856408
1cc8H	1999-03-04	x-ray diffraction	1.02	1.5255119313263112	1.526684559503484
1ek0H	2000-03-06	x-ray diffraction	1.48	1.5230704224122806	1.5234265999014323
1a2zAH	1998-01-13	x-ray diffraction	1.73	1.5255923636010844	1.5245219017637655
1babBH	1992-05-06	x-ray diffraction	1.5	1.5227041573667355	1.523673388441229
1cemH	1995-12-04	x-ray diffraction	1.65	1.530176307420797	1.530588130414211
1gdjH	1994-09-14	x-ray diffraction	1.7	1.5228961491460762	1.5232923788759196
2baaH	1995-01-26	x-ray diffraction	1.8	1.5294559710651674	1.5292317768617514
1difAH	1995-10-09	x-ray diffraction	1.7	1.5158622959524275	1.5175079714143163
1cipH	1999-04-05	x-ray diffraction	1.5	1.5294015530227372	1.5291702667114642
1bg6H	1998-06-05	x-ray diffraction	1.8	1.5211420530490642	1.522102839255154
1b4vH	1998-12-30	x-ray diffraction	1.5	1.5265305899943946	1.5265797122400295
1qtwH	1999-06-29	x-ray diffraction	1.02	1.5219507210641783	1.5231172511269948
1wabH	1996-10-30	x-ray diffraction	1.7	1.5257531280356267	1.525662756158551
2qwcH	1998-04-07	x-ray diffraction	1.6	1.5273940416466036	1.5276821179608464
1iabH	1994-05-09	x-ray diffraction	1.79	1.5277300084625929	1.5269688704114945
1xjoH	1996-10-09	x-ray diffraction	1.75	1.5263114393399404	1.5276588728789418
1cjwH	1999-04-19	x-ray diffraction	1.8	1.5255186933240155	1.5262013878159235
2acyH	1996-11-08	x-ray diffraction	1.8	1.5231515648719154	1.5237747811989955
1bb1AH	1998-04-28	x-ray diffraction	1.8	1.5262623486389038	1.526933011701916
1jetH	1996-07-03	x-ray diffraction	1.2	1.524121037048938	1.5238980145639416
1isuAH	1992-09-09	x-ray diffraction	1.5	1.5297886595802015	1.5320737912715572
1rhsH	1997-07-16	x-ray diffraction	1.36	1.5220668774036914	1.5215574372588812
1mpgBH	1997-10-28	x-ray diffraction	1.8	1.5278964390925374	1.527784474736163
1bkjAH	1998-07-08	x-ray diffraction	1.8	1.5308703805932649	1.5312604160944434
1a7sH	1998-03-17	x-ray diffraction	1.12	1.5207552840619796	1.520252355550556
1tph1H	1993-12-22	x-ray diffraction	1.8	1.5234722910765557	1.5215679216579283
3claH	1990-07-09	x-ray diffraction	1.75	1.531297104515438	1.5306679889101495
1mfiAH	1998-08-12	x-ray diffraction	1.8	1.5282075557009802	1.5258142483240027
1mbaH	1989-02-22	x-ray diffraction	1.6	1.5212969005145114	1.5201081629714308
1ahoH	1997-04-08	x-ray diffraction	0.96	1.5207962790939968	1.518194638065444
1xnbH	1994-06-01	x-ray diffraction	1.49	1.5223830365444766	1.5218872416931077
1kpfH	1997-09-25	x-ray diffraction	1.5	1.530499986052116	1.5307848207817998
1mroBH	1997-10-01	x-ray diffraction	1.16	1.5259124527681884	1.5264071278822366
1qupAH	1999-07-01	x-ray diffraction	1.8	1.5230811313202635	1.523551321696935
1flmBH	1999-03-10	x-ray diffraction	1.3	1.5210135853442126	1.5208829317251191
2hmzAH	1990-10-18	x-ray diffraction	1.66	1.522269651654	1.5234108909330082
1ql0AH	1999-08-18	x-ray diffraction	1.1	1.520513941774527	1.5210899963992377
1bk7H	1998-07-15	x-ray diffraction	1.75	1.5256630056544234	1.5254883264532897
7atjH	1999-04-26	x-ray diffraction	1.47	1.523377765954249	1.523631216735345
1kveABH	1996-10-04	x-ray diffraction	1.8	1.5284297512358291	1.5257974320003331
1gd1OH	1987-06-22	x-ray diffraction	1.8	1.5240486773404929	1.5229024538014864
1vfrAH	1998-01-09	x-ray diffraction	1.8	1.525894362873172	1.5257660184705877
1mroCH	1997-10-01	x-ray diffraction	1.16	1.5256425948982866	1.5255629247857025
2bc2AH	1997-09-09	x-ray diffraction	1.7	1.5262790367274417	1.526109388558757
1qipBH	1999-06-14	x-ray diffraction	1.72	1.5231030982075429	1.5225338228123542
7rsaH	1988-06-10	x-ray diffraction	1.26	1.529692179920085	1.5286157766041786
1vhhH	1995-10-03	x-ray diffraction	1.7	1.5243692137981824	1.5247016310732355
1agjAH	1997-03-25	x-ray diffraction	1.7	1.520737663653641	1.5213340247171914
1ckaH	1995-01-24	x-ray diffraction	1.5	1.526616468481928	1.5267829040890284
1gpeAH	1999-03-24	x-ray diffraction	1.8	1.521573184484444	1.522095937189122
1pdoH	1996-03-08	x-ray diffraction	1.7	1.527096202428693	1.5270082857954337
1bdoH	1995-11-21	x-ray diffraction	1.8	1.5238366064095314	1.5242733759882499
1cnvH	1995-02-20	x-ray diffraction	1.65	1.5262103540800704	1.52652331335747
1lucBH	1996-05-10	x-ray diffraction	1.5	1.5242613960340257	1.5248057553492251
2tnfAH	1998-10-12	x-ray diffraction	1.4	1.5243034087951086	1.5231284001133156
1swuBH	1998-10-12	x-ray diffraction	1.14	1.522682749819751	1.523341194604001
2bbkHH	1993-12-17	x-ray diffraction	1.75	1.5161864112490382	1.515973692575712
1b5eAH	1999-01-06	x-ray diffraction	1.6	1.5261760583196144	1.5262375027385995
1h2rSH	1999-06-14	x-ray diffraction	1.4	1.5308583925694546	1.530732512889408
1wapBH	1995-02-03	synchrotron x-ray diffraction	1.8	1.5263835238107888	1.5243745192465163
