model	date	method	resolution	distance_mean	distance_median
2g82FH_P	2006-03-01	x-ray diffraction	1.65	1.5253205642552963	1.5256190381444708
1iybFH_A	2002-08-05	x-ray diffraction	1.5	1.5248542989680198	1.525392357800747
2wnxFH_A	2009-07-20	x-ray diffraction	1.31	1.5220336696932708	1.5231212245418828
2iksFH_A	2006-10-02	x-ray diffraction	1.85	1.5282457959251392	1.5279421565179951
1uuyFH_A	2004-01-12	x-ray diffraction	1.45	1.5208560300783576	1.5198860182653993
2wv3FH_A	2009-10-13	x-ray diffraction	1.95	1.5226217732919056	1.5222731772793403
2zkdFH_B	2008-03-19	x-ray diffraction	1.6	1.5232081718944899	1.5235167594270749
3icsFH_A	2009-07-18	x-ray diffraction	1.94	1.5265297604890786	1.5266051716869962
2qskFH_A	2007-07-31	x-ray diffraction	1.0	1.523877090817409	1.5241404581601425
1rtqFH_A	2003-12-10	x-ray diffraction	0.95	1.5285894691394923	1.5291572222216543
3nfiFH_B	2010-06-10	x-ray diffraction	1.9	1.5327983797038063	1.533303903540646
1z21FH_A	2005-03-07	x-ray diffraction	1.5	1.5261943823274071	1.5268058208408508
3db7FH_A	2008-05-30	x-ray diffraction	1.4	1.5183347596180616	1.5200238017947967
3d4uFH_A	2008-05-15	x-ray diffraction	1.7	1.5290554302854815	1.529010875215075
1x82FH_A	2004-08-17	x-ray diffraction	1.5	1.52647194514803	1.5266858302502566
1ve1FH_A	2004-03-26	x-ray diffraction	1.45	1.5241919786275158	1.5248621716067228
1m0wFH_B	2002-06-14	x-ray diffraction	1.8	1.5256456364818403	1.526078409132927
2purFH_A	2007-05-09	x-ray diffraction	1.7	1.529598928839163	1.5292358161707975
2oznFH_B	2007-02-26	x-ray diffraction	1.6	1.5277148882165412	1.5281253479133274
2y2zFH_A	2010-12-17	x-ray diffraction	1.95	1.5290728827051516	1.5290660127555418
2oaaFH_B	2006-12-15	x-ray diffraction	1.5	1.5239403990284042	1.5247230893395534
3iiuFH_M	2009-08-03	x-ray diffraction	1.45	1.5285079911795654	1.5297416800985009
3e7aFH_B	2008-08-18	x-ray diffraction	1.63	1.5259306221039048	1.5258022616258355
1o2dFH_A	2003-02-27	x-ray diffraction	1.3	1.5226553076573808	1.5219796539097965
1w2cFH_A	2004-07-01	x-ray diffraction	1.95	1.528019203331428	1.5278868215601742
2vluFH_A	2008-01-16	x-ray diffraction	1.7	1.527638822599177	1.5279401914172912
1s69FH_A	2004-01-22	x-ray diffraction	1.68	1.531012546715737	1.533332293832432
2yzvFH_A	2007-05-06	x-ray diffraction	1.6	1.524682895840028	1.5252819632560306
1g3mFH_B	2000-10-24	x-ray diffraction	1.7	1.5254545022320503	1.525693100838545
1yphFH_D	2005-01-31	x-ray diffraction	1.34	1.5235900202165689	1.5227859489113162
1k0mFH_A	2001-09-19	x-ray diffraction	1.4	1.5250482985553313	1.524370220164888
1xcrFH_A	2004-09-03	x-ray diffraction	1.7	1.526480416552992	1.5267669549278278
3fncFH_A	2008-12-24	x-ray diffraction	1.75	1.5270887717396318	1.5279434744684508
2od6FH_C	2006-12-21	x-ray diffraction	1.85	1.5169203221878564	1.5214043852406833
1tovFH_A	2004-06-15	x-ray diffraction	1.77	nan	1.5255913732017805
3c37FH_B	2008-01-27	x-ray diffraction	1.7	1.5248997926496686	1.5249827130408646
2wy8FH_A	2009-11-13	x-ray diffraction	1.7	1.5299097104271038	1.529313413550259
3bqyFH_A	2007-12-20	x-ray diffraction	1.95	1.5298311584919175	1.5302279617753185
3bx4FH_A	2008-01-11	x-ray diffraction	1.7	1.524960123795042	1.5244698869407962
2nx4FH_C	2006-11-16	x-ray diffraction	1.7	1.529177621320686	1.5294206981430911
2c92FH_D	2005-12-09	x-ray diffraction	1.6	1.5241290609979403	1.5241880281954512
3p73FH_A	2010-10-12	x-ray diffraction	1.32	1.5230651356730758	1.523287099046285
2iwrFH_A	2006-07-03	x-ray diffraction	1.5	1.5223512933278236	1.5221622570900093
1k9uFH_B	2001-10-30	x-ray diffraction	1.75	1.525127360524357	1.525366843222656
1gyyFH_B	2002-04-30	x-ray diffraction	1.35	1.5214295079786853	1.5212879327985478
2owsFH_A	2007-02-16	x-ray diffraction	1.49	1.5255847262810387	1.526147786706403
2fwhFH_A	2006-02-02	x-ray diffraction	0.99	1.5206288148809586	1.5198575105932526
3a2qFH_A	2009-05-26	x-ray diffraction	1.8	1.5249680288001435	1.52539068597901
1kl9FH_A	2001-12-11	x-ray diffraction	1.9	1.524685433683783	1.5245742865907475
3df8FH_A	2008-06-11	x-ray diffraction	1.65	1.5279966697071805	1.529252915932728
3mdqFH_A	2010-03-30	x-ray diffraction	1.5	1.5257892415189866	1.5256282503293317
1wxcFH_B	2005-01-20	x-ray diffraction	1.2	1.5199829037609414	1.520605511537402
2v36FH_D	2007-06-13	x-ray diffraction	1.85	1.5312449963458399	1.5314123088308313
1ytqFH_A	2005-02-10	x-ray diffraction	1.7	1.527009806273811	1.527094527715916
3lg5FH_A	2010-01-19	x-ray diffraction	1.64	1.5280778408771616	1.5283212219684403
3h7cFH_X	2009-04-24	x-ray diffraction	1.5	1.5236638587413853	1.5233890663919833
1z2nFH_X	2005-03-08	x-ray diffraction	1.2	1.5258504007021316	1.5266346038642902
1yp1FH_A	2005-01-28	x-ray diffraction	1.9	1.527190102745221	1.5274419262178383
1rg8FH_B	2003-11-11	x-ray diffraction	1.1	1.5213469331423002	1.5218383213646671
1oi6FH_B	2003-06-09	x-ray diffraction	1.4	nan	1.5183133027606754
2pmqFH_A	2007-04-23	x-ray diffraction	1.72	1.5249177652039843	1.5247863923345282
3nr6FH_B	2010-06-30	x-ray diffraction	1.97	1.5267555194103524	1.5267283523193709
3m31FH_A	2010-03-08	x-ray diffraction	1.85	1.5259994813825826	1.5259069173080628
1k66FH_B	2001-10-15	x-ray diffraction	1.75	1.524746033378199	1.5250430428409003
1ukfFH_A	2003-08-21	x-ray diffraction	1.35	1.5240633013339948	1.5246024420176036
3k9wFH_A	2009-10-16	x-ray diffraction	1.6	1.5253811089160716	1.5258913559751452
1v9yFH_B	2004-02-04	x-ray diffraction	1.32	1.5229288460816706	1.5228082753574381
3nl9FH_A	2010-06-21	x-ray diffraction	1.78	1.530651152498055	1.5319332369645287
1wstFH_A	2004-11-10	x-ray diffraction	1.95	1.524816794724529	1.525132098192535
3a74FH_B	2009-09-13	x-ray diffraction	1.8	1.5240385772712663	1.5245117357682458
3kqfFH_D	2009-11-17	x-ray diffraction	1.8	1.5280472286601898	1.5278084414291093
1dfuFH_P	1999-11-21	x-ray diffraction	1.8	1.5239878565490927	1.5239682206817626
3d33FH_B	2008-05-09	x-ray diffraction	1.7	1.5214574467441782	1.5218198505463787
3eqxFH_A	2008-10-01	x-ray diffraction	1.6	1.5295134801692705	1.529645237117169
2ckkFH_A	2006-04-20	x-ray diffraction	1.45	1.5197181959006785	1.5200214193554311
1ntyFH_A	2003-01-30	x-ray diffraction	1.7	1.5261864358905253	1.5266137458481066
2x4jFH_A	2010-02-01	x-ray diffraction	1.62	1.5196366834374315	1.5217966406888805
3hbeFH_X	2009-05-04	x-ray diffraction	1.55	1.5256920529349398	1.5260110163515723
3i26FH_D	2009-06-29	x-ray diffraction	1.8	1.5263115853894889	1.5266934240605923
3n2sFH_D	2010-05-19	x-ray diffraction	1.95	1.529798023673005	1.5291296652282813
2cxxFH_B	2005-07-01	x-ray diffraction	1.7	1.5259321267384633	1.5266715667429944
3kdfFH_D	2009-10-22	x-ray diffraction	1.98	1.5232109860441942	1.5234150097078403
3hkxFH_A	2009-05-26	x-ray diffraction	1.66	1.526939435820741	1.527783137520862
3g16FH_A	2009-01-29	x-ray diffraction	1.45	1.5210214016910615	1.5214658750513173
3dfqFH_A	2008-06-12	x-ray diffraction	1.82	1.5249826942861682	1.5253634678784977
3f7qFH_A	2008-11-10	x-ray diffraction	1.75	1.5215995566688878	1.5214505451411338
3okxFH_B	2010-08-25	x-ray diffraction	1.8	1.5257242899477959	1.5256934542910974
3cq2FH_A	2008-04-02	x-ray diffraction	1.9	1.524323559716842	1.5247493416545777
3iv0FH_A	2009-08-31	x-ray diffraction	1.35	1.5220448033004768	1.5215903228303027
3lzoFH_B	2010-03-01	x-ray diffraction	1.65	1.52315075657129	1.5232680327867874
3kdeFH_C	2009-10-22	x-ray diffraction	1.74	nan	1.5275708583253789
1xg0FH_B	2004-09-16	x-ray diffraction	0.97	1.5269239153712384	1.52626269756275
3p0bFH_A	2010-09-28	x-ray diffraction	1.35	1.526544265927849	1.5267269561814298
2bklFH_B	2005-02-16	x-ray diffraction	1.5	nan	1.5223326047438615
3p1wFH_A	2010-09-30	x-ray diffraction	1.85	1.5269162365102196	1.527066679571653
1wbiFH_H	2004-11-01	x-ray diffraction	1.4	1.5237156320769778	1.5232640505438537
3d1gFH_A	2008-05-05	x-ray diffraction	1.64	1.523312840339573	1.5235271178194585
3i83FH_B	2009-07-09	x-ray diffraction	1.9	1.528017324632092	1.5283534660624354
1h16FH_A	2002-07-03	x-ray diffraction	1.53	1.524730818884614	1.5248474816641822
1ef1FH_D	2000-02-04	x-ray diffraction	1.9	1.5300854613371897	1.5298619341722768
3pjvFH_D	2010-11-10	x-ray diffraction	1.77	1.5253012908216843	1.5247720212138949
1uzeFH_A	2004-03-11	x-ray diffraction	1.82	nan	1.5259368498977186
2pijFH_A	2007-04-13	x-ray diffraction	1.7	1.5257977376141674	1.5242177054840096
3psmFH_A	2010-12-01	x-ray diffraction	0.98	1.5174318043599113	1.5182378747702459
3pmsFH_A	2010-11-17	x-ray diffraction	1.57	1.5235633923942349	1.5232386014155277
1rxjFH_A	2003-12-18	x-ray diffraction	1.14	1.52123937473148	1.5212132858577023
3d1bFH_C	2008-05-05	x-ray diffraction	1.7	1.5257031422970784	1.5254820973586085
3mkhFH_B	2010-04-14	x-ray diffraction	2.0	1.5274975764978584	1.5277959642036358
3d9nFH_B	2008-05-27	x-ray diffraction	1.6	1.5283485602268683	1.52835217970804
1lwbFH_A	2002-05-31	x-ray diffraction	1.05	1.5180681959760973	1.5180635872893884
2heuFH_B	2006-06-22	x-ray diffraction	1.04	1.5169230946491357	1.5164669253694685
3bzwFH_A	2008-01-18	x-ray diffraction	1.87	1.5253734770659468	1.5255723207696419
2c9wFH_C	2005-12-14	x-ray diffraction	1.9	1.5276433172193289	1.5267727629974843
3kyaFH_A	2009-12-04	x-ray diffraction	1.77	1.5275542100755177	1.5274032766525933
1n9pFH_A	2002-11-26	x-ray diffraction	1.8	1.5257791966076901	1.5267107584651074
3mc1FH_A	2010-03-26	x-ray diffraction	1.93	1.5253042552491176	1.5254506929106593
2xseFH_A	2010-09-28	x-ray diffraction	1.9	nan	1.5309113560710235
2pgzFH_A	2007-04-10	x-ray diffraction	1.76	1.525254183933633	1.5259843500126016
3bp5FH_A	2007-12-18	x-ray diffraction	1.8	1.5232541598547893	1.5228894083074334
2p18FH_A	2007-03-02	x-ray diffraction	1.8	1.529573212436626	1.5292569899043267
2vvpFH_B	2008-06-10	x-ray diffraction	1.65	1.5284831629552584	1.5288757310144647
1zu3FH_A	2005-05-30	x-ray diffraction	1.33	1.5253941484536053	1.5264139942748365
1vggFH_A	2004-04-26	x-ray diffraction	1.75	1.5241108823104224	1.524586458462887
3ktcFH_B	2009-11-24	x-ray diffraction	1.54	1.5225783003622995	1.5229880857737315
2yrrFH_B	2007-04-02	x-ray diffraction	1.86	1.5251545744260016	1.52520830654429
2uuuFH_C	2007-03-07	x-ray diffraction	1.95	1.5308137356012017	1.5312491501714787
3c05FH_A	2008-01-18	x-ray diffraction	1.7	1.5259523565060034	1.5245482524771456
1ny1FH_B	2003-02-11	x-ray diffraction	1.8	1.5245286094501713	1.524612113436546
3hdoFH_B	2009-05-07	x-ray diffraction	1.61	1.5241785130866992	1.5246926227915234
1zczFH_A	2005-04-13	x-ray diffraction	1.88	1.5285895812610546	1.5287401123737934
1wyxFH_B	2005-02-17	x-ray diffraction	1.14	1.521086710064572	1.5202069156813454
1z76FH_B	2005-03-24	x-ray diffraction	1.85	1.5583387537700788	1.5599015975777073
1ozwFH_B	2003-04-09	x-ray diffraction	1.55	1.5251664115559183	1.5252658431363217
2xevFH_A	2010-05-18	x-ray diffraction	1.57	1.5274114605107794	1.5275175793840876
1km9FH_A	2001-12-14	x-ray diffraction	1.96	1.5245799370330253	1.5249693886781208
3mvpFH_A	2010-05-04	x-ray diffraction	1.85	1.5305189334725748	1.5309471052515242
2iz6FH_B	2006-07-25	x-ray diffraction	1.6	1.5234980648597944	1.523163445318398
1nziFH_A	2003-02-18	x-ray diffraction	1.5	1.5227569501225682	1.5227377761060543
3ebbFH_B	2008-08-27	x-ray diffraction	1.9	1.529403802643601	1.529299115341324
1wdvFH_B	2004-05-18	x-ray diffraction	1.7	1.5236558165641274	1.5235692917989767
2biiFH_B	2005-01-21	x-ray diffraction	1.7	1.5276461469918403	1.5285453592906335
3gwhFH_B	2009-04-01	x-ray diffraction	1.95	1.5279572049438415	1.5279637136869633
2rhmFH_B	2007-10-09	x-ray diffraction	1.7	1.5262986998491905	1.5268640623309127
2fl4FH_A	2006-01-05	x-ray diffraction	1.6	1.524551524492799	1.5244777591375187
2pqrFH_B	2007-05-02	x-ray diffraction	1.88	1.5311261970095449	1.5314973802866096
2pq7FH_A	2007-05-01	x-ray diffraction	1.45	1.526791167478569	1.52562569698308
2z6rFH_A	2007-08-08	x-ray diffraction	1.5	1.5242157515652723	1.5240266835428107
2yv7FH_A	2007-04-10	x-ray diffraction	1.7	1.5272639473443563	1.5275565178840134
1ci4FH_B	1999-04-07	x-ray diffraction	1.9	1.5235036266127888	1.5228806790396905
1qjcFH_B	1999-06-23	x-ray diffraction	1.64	1.5250058484753852	1.5249211441424213
1eq9FH_B	2000-04-03	x-ray diffraction	1.7	1.5233694609931574	1.5239262731017762
3etvFH_A	2008-10-08	x-ray diffraction	1.94	1.5296773391566563	1.5295570902139564
2y5sFH_B	2011-01-17	x-ray diffraction	1.95	1.5282241307715652	1.5286180296339256
1bs3FH_B	1998-08-31	x-ray diffraction	1.55	1.5247663611603466	1.524874160803121
1m5tFH_A	2002-07-10	x-ray diffraction	1.6	1.5251152936634604	1.5253915553302266
2nsfFH_A	2006-11-04	x-ray diffraction	1.75	1.5240907508136756	1.5248617875127195
2o6fFH_A	2006-12-07	x-ray diffraction	1.63	1.5233652993921456	1.5240719064449613
3f5hFH_B	2008-11-03	x-ray diffraction	1.75	1.52579597364409	1.5249042143813678
2boyFH_C	2005-04-15	x-ray diffraction	1.9	1.5277341288759956	1.5272825909276346
3i35FH_A	2009-06-30	x-ray diffraction	1.4	1.5186319511769542	1.5171599519553767
3g51FH_A	2009-02-04	x-ray diffraction	1.8	1.5250301702746096	1.5256426317822596
2j78FH_B	2006-10-06	x-ray diffraction	1.65	1.525884875672582	1.525632968272791
1ga6FH_A	2000-11-29	x-ray diffraction	1.0	1.5223327807547211	1.522487471480787
2ihyFH_B	2006-09-27	x-ray diffraction	1.9	1.5264931678453644	1.5264456687078545
3aczFH_C	2010-01-13	x-ray diffraction	1.97	1.5313037937840155	1.5311982093091787
1vjfFH_A	2004-02-11	x-ray diffraction	1.62	nan	1.5218564006949555
3ogaFH_A	2010-08-16	x-ray diffraction	1.75	1.520698071384756	1.5202927614021444
2vacFH_A	2007-08-30	x-ray diffraction	1.7	1.532634722208706	1.5327202796968327
3q2eFH_A	2010-12-20	x-ray diffraction	1.74	1.5281824148307197	1.5287394133081633
1bazFH_A	1998-04-21	x-ray diffraction	1.9	1.5276075348224025	1.5286517291098385
3eixFH_A	2008-09-17	x-ray diffraction	1.35	1.5280135232248848	1.528418825756497
1kq1FH_B	2002-01-03	x-ray diffraction	1.55	1.5213343864839133	1.5225381286358979
3gmvFH_X	2009-03-15	x-ray diffraction	1.8	1.5246773637617146	1.5232392120681335
3oj0FH_A	2010-08-20	x-ray diffraction	1.65	1.5236439115406393	1.5235438680016455
1wnaFH_A	2004-07-28	x-ray diffraction	1.58	1.5235878739053956	1.5242466008276159
2v7sFH_A	2007-08-01	x-ray diffraction	1.96	1.527972148351697	1.5281088688501796
1r88FH_B	2003-10-23	x-ray diffraction	1.71	1.5274807434248119	1.5277026036545835
1y4jFH_B	2004-12-01	x-ray diffraction	1.86	1.526165619028795	1.5256453793485893
2cxaFH_A	2005-06-28	x-ray diffraction	1.6	1.524673726468658	1.5245616548508485
2pmrFH_A	2007-04-23	x-ray diffraction	1.32	1.5268687362374511	1.5270006071821336
1l3iFH_E	2002-02-27	x-ray diffraction	1.95	1.526210880599287	1.5259780084009367
3nbkFH_A	2010-06-03	x-ray diffraction	1.58	1.525376166424744	1.5259080516100487
3ggwFH_B	2009-03-02	x-ray diffraction	1.7	1.5230266031641713	1.523148060365879
1yg9FH_A	2005-01-04	x-ray diffraction	1.3	1.520217299826265	1.5198564227300595
2fhfFH_A	2005-12-23	x-ray diffraction	1.65	1.5257097948430998	1.5259021597557072
3cy4FH_A	2008-04-25	x-ray diffraction	1.51	1.523222314178513	1.5232336115968954
3g3tFH_A	2009-02-02	x-ray diffraction	1.85	1.5233472753605863	1.5233768267027235
2ia7FH_A	2006-09-07	x-ray diffraction	1.44	1.520844775997593	1.5214985038964728
2fa8FH_A	2005-12-07	x-ray diffraction	1.9	1.5280696461290701	1.5291016386841862
2wshFH_B	2009-09-07	x-ray diffraction	1.9	1.5240063027964386	1.5243321230065594
3hbgFH_A	2009-05-04	x-ray diffraction	1.9	1.5269213219693663	1.5272342496614988
2nnrFH_A	2006-10-24	x-ray diffraction	1.7	1.5232727298781772	1.5240408521079933
1ofcFH_X	2003-04-10	x-ray diffraction	1.9	nan	1.532185762981087
1cf3FH_A	1999-03-23	x-ray diffraction	1.9	1.5237834054904567	1.5235522838576765
1awdFH_A	1997-10-01	x-ray diffraction	1.4	1.522531120227326	1.522132883032663
3pzjFH_B	2010-12-14	x-ray diffraction	1.85	1.52353171999282	1.5238723388822104
3bwvFH_B	2008-01-10	x-ray diffraction	1.55	1.5244514765393447	1.5244285147155265
1dbiFH_A	1999-11-02	x-ray diffraction	1.8	1.526454197597275	1.5263898220215928
1xg2FH_A	2004-09-16	x-ray diffraction	1.9	1.5253118611689327	1.5248875299532196
3dczFH_A	2008-06-04	x-ray diffraction	1.65	nan	1.5261438488841719
1lclFH_A	1996-01-18	x-ray diffraction	1.8	1.5246957186990695	1.5239618455463384
3ld7FH_B	2010-01-12	x-ray diffraction	1.55	1.5217305248367528	1.5221718470031818
3ce1FH_A	2008-02-27	x-ray diffraction	1.2	1.5194129775314769	1.518827839658151
3ju3FH_A	2009-09-14	x-ray diffraction	1.9	1.527459104228902	1.526040094893197
3o0pFH_A	2010-07-19	x-ray diffraction	1.3	1.5222901057622418	1.5230328725081868
1t6gFH_D	2004-05-06	x-ray diffraction	1.8	1.5222383443219092	1.5220897262464643
3lezFH_A	2010-01-15	x-ray diffraction	1.25	1.52492885844492	1.5255932415636302
3mjvFH_B	2010-04-13	x-ray diffraction	1.46	1.5250169599236407	1.5248319967669557
1xszFH_A	2004-10-20	x-ray diffraction	1.41	1.5246845828896058	1.5249651299934386
1mkzFH_B	2002-08-29	x-ray diffraction	1.6	1.5211308153409298	1.5198974873257707
3mybFH_A	2010-05-10	x-ray diffraction	1.55	1.5264899493442203	1.527208710673372
2vfrFH_A	2007-11-05	x-ray diffraction	1.1	1.525887429863555	1.5260526656071125
1zd8FH_A	2005-04-14	x-ray diffraction	1.48	1.5256301836501773	1.5263802428582949
2qzcFH_A	2007-08-16	x-ray diffraction	1.5	1.5277673812756374	1.5272240871616571
2c4fFH_T	2005-10-18	x-ray diffraction	1.72	1.5236192565269013	1.5238901317277882
3d6rFH_A	2008-05-20	x-ray diffraction	2.0	1.5248798387659377	1.5249731548628895
1xyzFH_A	1995-06-07	x-ray diffraction	1.4	1.5310411740805272	1.5313526549180971
1r0uFH_A	2003-09-23	x-ray diffraction	1.75	1.520293377514153	1.5192684217036925
3b5nFH_K	2007-10-26	x-ray diffraction	1.6	1.5245075740476104	1.5246555281315748
1s5aFH_B	2004-01-20	x-ray diffraction	1.7	1.5261135398770906	1.5259856819283915
1sfsFH_A	2004-02-20	x-ray diffraction	1.07	1.5177655533014973	1.5171473070669705
2abkFH_A	1995-05-11	x-ray diffraction	1.85	1.529248043567264	1.529480136271178
3fgdFH_A	2008-12-05	x-ray diffraction	1.33	1.5205602853436295	1.5207959566807177
3bdiFH_A	2007-11-14	x-ray diffraction	1.45	1.5228172636469346	1.521859310993873
2fvyFH_A	2006-01-31	x-ray diffraction	0.92	1.5223920025297382	1.5233309261551622
2h54FH_B	2006-05-25	x-ray diffraction	1.8	1.5287716549780952	1.5291352284916049
3fseFH_A	2009-01-09	x-ray diffraction	1.9	1.5302153493237811	1.5304099459776026
1q74FH_C	2003-08-15	x-ray diffraction	1.7	1.5241669675005012	1.5235593964559588
3cp5FH_A	2008-03-31	x-ray diffraction	1.24	1.5196651253668438	1.519439810689728
2jb0FH_A	2006-12-01	x-ray diffraction	1.91	nan	1.5269812128054931
2o0aFH_A	2006-11-27	x-ray diffraction	1.6	nan	1.542473344837958
3drzFH_B	2008-07-11	x-ray diffraction	1.9	1.5244496850626539	1.5235510324034625
3m4dFH_A	2010-03-10	x-ray diffraction	1.9	1.5231892703602414	1.5237404519306887
3n5wFH_B	2010-05-25	x-ray diffraction	1.73	1.5302184083249606	1.5298298872705227
2z7bFH_A	2007-08-17	x-ray diffraction	1.9	1.5247623136800466	1.5251495450728718
3bxeFH_B	2008-01-13	x-ray diffraction	1.8	1.5280595129171828	1.5283358321643383
1xo5FH_A	2004-10-05	x-ray diffraction	1.99	1.5295389380264908	1.530293467237935
2ovjFH_A	2007-02-14	x-ray diffraction	1.49	1.519852639049047	1.5212687673774643
2vocFH_A	2008-02-13	x-ray diffraction	1.5	1.5201016996111134	1.5214066959369719
4ubpFH_B	1999-02-25	x-ray diffraction	1.55	1.5221002542408837	1.5214669484223766
1oxsFH_C	2003-04-03	x-ray diffraction	1.65	1.5214265478204902	1.5214769763856177
2h1vFH_A	2006-05-17	x-ray diffraction	1.2	1.5172928379713246	1.5175571254680602
3kopFH_D	2009-11-13	x-ray diffraction	1.9	1.5236016575125315	1.5246434064554464
3ciwFH_A	2008-03-12	x-ray diffraction	1.35	1.524679322121592	1.524684205895448
3gwzFH_A	2009-04-01	x-ray diffraction	1.91	1.5260970185824374	1.5255615620342944
2z14FH_A	2007-05-08	x-ray diffraction	1.68	1.5224465344588085	1.522822904935495
3gydFH_B	2009-04-03	x-ray diffraction	1.79	1.5280172582439857	1.528158951777291
3c2uFH_A	2008-01-25	x-ray diffraction	1.3	1.5203488254050972	1.5202171038365557
2iayFH_A	2006-09-08	x-ray diffraction	1.2	1.5211712995435012	1.520140716097988
2j82FH_A	2006-10-18	x-ray diffraction	1.28	1.5176322720619326	1.5183373095343649
3hwuFH_A	2009-06-18	x-ray diffraction	1.3	1.521982269408246	1.5212518437238107
1z41FH_B	2005-03-15	x-ray diffraction	1.3	1.5268844203115068	1.5270426015076872
1yonFH_A	2005-01-28	x-ray diffraction	1.95	1.521378655680649	1.5210821210856786
3fo8FH_D	2008-12-29	x-ray diffraction	1.8	1.5239240799562614	1.5244449466667374
2jilFH_A	2007-06-28	x-ray diffraction	1.5	1.524380246885451	1.5252259980361762
2qm8FH_A	2007-07-14	x-ray diffraction	1.7	1.5285622245258053	1.5285313180250835
2vzcFH_A	2008-07-31	x-ray diffraction	1.05	1.5222131920141424	1.5216054155361165
1cjcFH_A	1999-04-12	x-ray diffraction	1.7	1.52233122475423	1.522598215177361
2z6wFH_A	2007-08-09	x-ray diffraction	0.96	1.527300439681812	1.5282653101283985
1nlnFH_A	2003-01-07	x-ray diffraction	1.6	1.5213462137495979	1.5209561112991243
2qeeFH_F	2007-06-25	x-ray diffraction	1.65	1.5289543298859083	1.5289875642305293
2o90FH_A	2006-12-12	x-ray diffraction	1.07	1.518003087491036	1.5187686241793525
1w5rFH_B	2004-08-09	x-ray diffraction	1.45	1.524719423341173	1.5250289819429714
2qtqFH_A	2007-08-02	x-ray diffraction	1.85	1.5261354164308467	1.5250644367180128
3ek3FH_A	2008-09-18	x-ray diffraction	1.7	1.5251616953606688	1.525272787842046
3ib0FH_A	2009-07-15	x-ray diffraction	1.4	1.5217027300901134	1.5224757559391469
2p67FH_A	2007-03-16	x-ray diffraction	1.8	1.5296124530716004	1.5299506406780627
2w31FH_B	2008-11-05	x-ray diffraction	1.5	1.532121242131528	1.5322716674096448
2rdzFH_A	2007-09-25	x-ray diffraction	1.74	1.5308675929406914	1.5305512749548027
2pt0FH_B	2007-05-07	x-ray diffraction	1.7	1.5256205033021983	1.5257032342603087
1xsvFH_B	2004-10-20	x-ray diffraction	1.7	1.5248722251602043	1.5257981129588285
2if6FH_A	2006-09-20	x-ray diffraction	1.8	1.528544892628899	1.5287389994654315
1wkrFH_A	2004-06-02	x-ray diffraction	1.3	1.5132478327919625	1.513454926141259
1vd6FH_A	2004-03-18	x-ray diffraction	1.3	1.5291027292677393	1.5246432005290687
2iuwFH_A	2006-06-07	x-ray diffraction	1.5	1.523270818624718	1.5235893664597986
3mdpFH_A	2010-03-30	x-ray diffraction	1.9	1.527572113565661	1.5282532284905677
3m66FH_A	2010-03-15	x-ray diffraction	1.6	1.5256770799535029	1.524936955313803
3kffFH_A	2009-10-27	x-ray diffraction	0.96	1.5184516087215014	1.5170304360530384
1tzjFH_B	2004-07-10	x-ray diffraction	1.99	1.5238180219848494	1.52343808979523
2gu2FH_B	2006-04-28	x-ray diffraction	1.8	1.5310788107057407	1.5310234644241034
3jxgFH_B	2009-09-19	x-ray diffraction	1.7	1.5236218316858854	1.522951859974948
2qmqFH_A	2007-07-16	x-ray diffraction	1.7	1.5218252217664754	1.5222854391459064
1mz4FH_A	2002-10-05	x-ray diffraction	1.8	1.5253797335834003	1.525853897677536
3n1sFH_M	2010-05-17	x-ray diffraction	1.45	1.5235608242884302	1.523170192419163
2yviFH_A	2007-04-12	x-ray diffraction	1.92	1.526697659674559	1.5266815256911053
2wnvFH_E	2009-07-20	x-ray diffraction	1.25	nan	1.5241358639874112
3gbwFH_A	2009-02-20	x-ray diffraction	1.32	1.5207150372228453	1.5205488138539054
1dlfFH_H	1998-07-14	x-ray diffraction	1.45	1.52695296649496	1.526835878076755
1z6mFH_A	2005-03-22	x-ray diffraction	1.3	1.5251956118182226	1.525656475115118
2cduFH_B	2006-01-28	x-ray diffraction	1.8	1.5258397788329467	1.5261216027677285
3a16FH_C	2009-03-26	x-ray diffraction	1.6	1.5261794434904137	1.5266647333350638
3dffFH_A	2008-06-11	x-ray diffraction	1.6	1.5258173780660822	1.5262047079129348
3n98FH_A	2010-05-28	x-ray diffraction	1.87	1.5324402384618416	1.532974233537019
3ikwFH_A	2009-08-06	x-ray diffraction	1.3	1.5217359595401367	1.5212056649861783
3dz1FH_A	2008-07-29	x-ray diffraction	1.87	1.525008523010007	1.525366602698659
2de3FH_A	2006-02-08	x-ray diffraction	1.6	1.5269477527920243	1.527364210968728
1rkuFH_A	2003-11-23	x-ray diffraction	1.47	1.5248178733765458	1.525784764969242
2w7zFH_A	2009-01-06	x-ray diffraction	1.6	1.525982636437209	1.5258219170922445
3gkvFH_B	2009-03-11	x-ray diffraction	1.4	1.5312979316345272	1.5323303358496183
3e11FH_B	2008-08-01	x-ray diffraction	1.8	1.5280897640713602	1.5285222187477516
1vlrFH_A	2004-08-10	x-ray diffraction	1.83	1.5202691605197325	1.5202894835717928
2r31FH_A	2007-08-28	x-ray diffraction	1.0	1.5200477962536696	1.521112867534101
3cp7FH_B	2008-03-31	x-ray diffraction	1.39	1.5238383442611931	1.5240840877893513
